FrameNumber,Spot ID,X,Y,Z,Radius,Orientation (if meaningful),Length (if meaningful), Fit Background (for FIONA), Gaussian Summed Value (for FIONA), Mean Background (FIONA), Summed Value (for FIONA)
40, 2, 0.187500,-0.156250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
41, 0, -105.625000,-350.718750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
41, 1, 395.968750,-101.281250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
41, 2, 0.593750,-0.812500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
42, 0, -105.062500,-350.906250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
42, 1, 396.468750,-101.937500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
42, 2, 0.500000,-1.656250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
43, 0, -105.937500,-350.656250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
43, 1, 397.062500,-103.000000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
43, 2, 0.312500,-1.687500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
44, 0, -105.031250,-350.937500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
44, 1, 395.968750,-102.718750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
44, 2, 0.406250,-0.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
45, 0, -105.125000,-350.312500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
45, 1, 395.812500,-102.500000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
45, 2, 1.281250,-0.875000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
46, 0, -106.031250,-350.031250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
46, 1, 394.906250,-102.968750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
46, 2, -0.718750,-0.625000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
47, 0, -105.968750,-350.125000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
47, 1, 393.468750,-104.125000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
47, 2, 0.062500,-0.125000,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
48, 0, -106.718750,-350.593750,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
48, 1, 394.250000,-103.812500,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
48, 2, 0.343750,-0.281250,0.000000, 18.027800, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
